rds_index,hourbin,ewt,count,daybin,date,rbt,speed
M4_1_0,1,-3.76,1,1,01-22-2016,null,null
M4_2_0,1,-3.76,1,1,01-22-2016,null,null
M4_1_0,0,-2.07,1,1,01-27-2016,0.0,null
M4_2_0,0,-2.07,1,1,01-27-2016,0.0,null
M4_1_0,1,-2.07,1,1,01-27-2016,null,null
M4_2_0,1,-2.07,1,1,01-27-2016,null,null
M4_1_0,0,-0.14,2,1,01-28-2016,0.0,null
M4_2_0,0,-0.14,2,1,01-28-2016,0.0,null
M4_1_0,1,-0.14,2,1,01-28-2016,null,null
M4_2_0,1,-0.14,2,1,01-28-2016,null,null
M4_1_0,0,2.44,2,1,01-29-2016,0.0,0.12
M4_2_0,0,2.44,2,1,01-29-2016,0.58,3.64
M4_1_0,1,2.44,2,1,01-29-2016,null,null
M4_2_0,1,2.44,2,1,01-29-2016,null,null
M4_1_0,0,0.08,3,1,02-01-2016,0.0,3.235
M4_2_0,0,0.08,3,1,02-01-2016,0.0,3.235
M4_1_0,1,0.08,3,1,02-01-2016,null,null
M4_2_0,1,0.08,3,1,02-01-2016,null,null
M4_1_0,0,2.56,4,1,02-03-2016,0.0,1.49
M4_2_0,0,2.56,4,1,02-03-2016,0.0,1.49
M4_1_0,1,2.56,4,1,02-03-2016,null,null
M4_2_0,1,2.56,4,1,02-03-2016,null,null
M4_0_0,0,-0.9,1,1,02-04-2016,0.0,7.52
M4_1_0,0,-1.4,1,1,02-04-2016,0.0,null
M4_2_0,0,-1.13,2,1,02-04-2016,0.0,7.52
M4_0_0,3,-0.9,1,1,02-04-2016,null,null
M4_1_0,1,-1.4,1,1,02-04-2016,null,null
M4_2_0,1,-1.4,1,1,02-04-2016,null,null
M4_2_0,3,-0.9,1,1,02-04-2016,null,null
M4_0_0,0,2.63,2,1,02-05-2016,0.0,null
M4_1_0,0,3.93,1,1,02-05-2016,0.0,0.68
M4_2_0,0,3.18,3,1,02-05-2016,0.0,0.68
M4_0_0,3,2.63,2,1,02-05-2016,null,null
M4_1_0,1,3.93,1,1,02-05-2016,null,null
M4_2_0,1,3.93,1,1,02-05-2016,null,null
M4_2_0,3,2.63,2,1,02-05-2016,null,null
M4_1_0,0,2.54,5,1,02-09-2016,0.0,null
M4_2_0,0,2.54,5,1,02-09-2016,0.0,null
M4_1_0,1,2.54,5,1,02-09-2016,null,null
M4_2_0,1,2.54,5,1,02-09-2016,null,null
M4_1_0,0,0.12,4,1,02-10-2016,0.0,null
M4_2_0,0,0.12,4,1,02-10-2016,0.0,null
M4_1_0,1,0.12,4,1,02-10-2016,null,null
M4_2_0,1,0.12,4,1,02-10-2016,null,null
M4_0_0,0,0.04,1,1,02-11-2016,0.0,null
M4_1_0,0,3.64,1,1,02-11-2016,0.0,null
M4_2_0,0,2.31,2,1,02-11-2016,0.0,null
M4_0_0,3,0.04,1,1,02-11-2016,null,null
M4_1_0,1,3.64,1,1,02-11-2016,null,null
M4_2_0,1,3.64,1,1,02-11-2016,null,null
M4_2_0,3,0.04,1,1,02-11-2016,null,null
M4_1_0,0,-0.67,4,1,02-12-2016,0.0,null
M4_2_0,0,-0.67,4,1,02-12-2016,0.0,null
M4_1_0,1,-0.67,4,1,02-12-2016,null,null
M4_2_0,1,-0.67,4,1,02-12-2016,null,null
M4_1_0,0,0.42,2,1,02-22-2016,0.0,null
M4_2_0,0,0.42,2,1,02-22-2016,0.0,null
M4_1_0,1,0.42,2,1,02-22-2016,null,null
