rds_index,hourbin,ewt,count,daybin,date,rbt,speed
BX39_0_0,2,1.61,979,2,10-17-2015,null,null
BX39_0_0,3,2.35,520,2,10-17-2015,null,null
BX39_0_0,4,1.77,390,2,10-17-2015,null,null
BX39_1_0,1,2.23,455,2,10-17-2015,null,null
BX39_1_0,2,2.15,951,2,10-17-2015,null,null
BX39_1_0,3,2.28,498,2,10-17-2015,null,null
BX39_1_0,4,1.69,299,2,10-17-2015,null,null
BX39_2_0,1,2.3,915,2,10-17-2015,null,null
BX39_2_0,2,1.88,1930,2,10-17-2015,null,null
BX39_2_0,3,2.31,1018,2,10-17-2015,null,null
BX39_2_0,4,1.73,689,2,10-17-2015,null,null
BX39_0_0,0,1.27,2045,2,10-18-2015,60.38,7.9175
BX39_1_0,0,0.73,1977,2,10-18-2015,57.42,7.0975
BX39_2_0,0,1.0,4022,2,10-18-2015,58.9,7.5625
BX39_0_0,1,0.5,379,2,10-18-2015,null,null
BX39_0_0,2,1.94,914,2,10-18-2015,null,null
BX39_0_0,3,1.19,473,2,10-18-2015,null,null
BX39_0_0,4,0.4,279,2,10-18-2015,null,null
BX39_1_0,1,0.52,449,2,10-18-2015,null,null
BX39_1_0,2,0.84,844,2,10-18-2015,null,null
BX39_1_0,3,0.99,447,2,10-18-2015,null,null
BX39_1_0,4,0.38,237,2,10-18-2015,null,null
BX39_2_0,1,0.51,828,2,10-18-2015,null,null
BX39_2_0,2,1.41,1758,2,10-18-2015,null,null
BX39_2_0,3,1.09,920,2,10-18-2015,null,null
BX39_2_0,4,0.39,516,2,10-18-2015,null,null
BX39_0_0,0,1.24,3762,1,10-19-2015,72.9,7.3625
BX39_1_0,0,1.51,3083,1,10-19-2015,84.69,6.5825
BX39_2_0,0,1.37,6845,1,10-19-2015,78.79,7.045
BX39_0_0,1,1.52,1160,1,10-19-2015,null,null
BX39_0_0,2,1.31,1434,1,10-19-2015,null,null
BX39_0_0,3,0.91,750,1,10-19-2015,null,null
BX39_0_0,4,1.04,418,1,10-19-2015,null,null
BX39_1_0,1,1.33,943,1,10-19-2015,null,null
BX39_1_0,2,2.19,1132,1,10-19-2015,null,null
BX39_1_0,3,0.44,659,1,10-19-2015,null,null
BX39_1_0,4,1.67,349,1,10-19-2015,null,null
BX39_2_0,1,1.42,2103,1,10-19-2015,null,null
BX39_2_0,2,1.7,2566,1,10-19-2015,null,null
BX39_2_0,3,0.69,1409,1,10-19-2015,null,null
BX39_2_0,4,1.36,767,1,10-19-2015,null,null
BX39_0_0,0,1.37,3516,1,10-20-2015,91.13,6.8825
BX39_1_0,0,1.6,2956,1,10-20-2015,71.4,6.5325
BX39_2_0,0,1.48,6472,1,10-20-2015,81.27,6.735
BX39_0_0,1,1.41,1216,1,10-20-2015,null,null
BX39_0_0,2,0.96,1280,1,10-20-2015,null,null
BX39_0_0,3,2.4,672,1,10-20-2015,null,null
BX39_0_0,4,0.91,348,1,10-20-2015,null,null
BX39_1_0,1,1.55,936,1,10-20-2015,null,null
BX39_1_0,2,1.83,1119,1,10-20-2015,null,null
BX39_1_0,3,1.19,564,1,10-20-2015,null,null
BX39_1_0,4,1.59,337,1,10-20-2015,null,null
BX39_2_0,1,1.48,2152,1,10-20-2015,null,null
BX39_2_0,2,1.35,2399,1,10-20-2015,null,null
BX39_2_0,3,1.84,1236,1,10-20-2015,null,null
BX39_2_0,4,1.3,685,1,10-20-2015,null,null
BX39_0_0,0,1.65,3488,1,10-21-2015,71.16,7.0575
BX39_1_0,0,1.93,2875,1,10-21-2015,73.84,6.425
BX39_2_0,0,1.78,6363,1,10-21-2015,72.5,6.8025
